Gamma     = 0.99 , alpha    = 0.1 , episodes            = 50000
n actions = 3    , n states = 1089 , n state action pair = 3267

row	 	 x	 	 y	 	theta	 	actions	 	best action	 	Q Table
303	 	-4	 	-5	 	-1.571	 	0	 	2	 	 	-10.62
304	 	-4	 	-5	 	-1.571	 	1	 	2	 	 	-4.399
305	 	-4	 	-5	 	-1.571	 	2	 	2	 	 	26.86
306	 	-4	 	-5	 	-0.7854	 	0	 	2	 	 	-4.412
307	 	-4	 	-5	 	-0.7854	 	1	 	2	 	 	-3.596
308	 	-4	 	-5	 	-0.7854	 	2	 	2	 	 	32.58
309	 	-4	 	-5	 	0	 	0	 	2	 	 	-2.832
310	 	-4	 	-5	 	0	 	1	 	2	 	 	-2.947
311	 	-4	 	-5	 	0	 	2	 	2	 	 	37.18
312	 	-4	 	-5	 	0.7854	 	0	 	0	 	 	40.38
313	 	-4	 	-5	 	0.7854	 	1	 	0	 	 	-2.143
314	 	-4	 	-5	 	0.7854	 	2	 	0	 	 	-2.129
315	 	-4	 	-5	 	1.571	 	0	 	1	 	 	-2.004
316	 	-4	 	-5	 	1.571	 	1	 	1	 	 	35.98
317	 	-4	 	-5	 	1.571	 	2	 	1	 	 	-2.048
318	 	-4	 	-5	 	2.356	 	0	 	1	 	 	-2.625
319	 	-4	 	-5	 	2.356	 	1	 	1	 	 	28.28
320	 	-4	 	-5	 	2.356	 	2	 	1	 	 	-2.508
321	 	-4	 	-5	 	3.142	 	0	 	1	 	 	-3.125
322	 	-4	 	-5	 	3.142	 	1	 	1	 	 	15.48
323	 	-4	 	-5	 	3.142	 	2	 	1	 	 	-3.752
324	 	-4	 	-4	 	-3.142	 	0	 	2	 	 	-3.933
325	 	-4	 	-4	 	-3.142	 	1	 	2	 	 	-4.655
326	 	-4	 	-4	 	-3.142	 	2	 	2	 	 	19.08
327	 	-4	 	-4	 	-2.356	 	0	 	2	 	 	-3.461
328	 	-4	 	-4	 	-2.356	 	1	 	2	 	 	-3.444
329	 	-4	 	-4	 	-2.356	 	2	 	2	 	 	30.4
330	 	-4	 	-4	 	-1.571	 	0	 	2	 	 	-3.174
331	 	-4	 	-4	 	-1.571	 	1	 	2	 	 	-3.091
332	 	-4	 	-4	 	-1.571	 	2	 	2	 	 	37.12
333	 	-4	 	-4	 	-0.7854	 	0	 	2	 	 	-2.673
334	 	-4	 	-4	 	-0.7854	 	1	 	2	 	 	-2.596
335	 	-4	 	-4	 	-0.7854	 	2	 	2	 	 	40.37
336	 	-4	 	-4	 	0	 	0	 	0	 	 	42.76
337	 	-4	 	-4	 	0	 	1	 	0	 	 	-2.169
338	 	-4	 	-4	 	0	 	2	 	0	 	 	-2.071
339	 	-4	 	-4	 	0.7854	 	0	 	1	 	 	-2.011
340	 	-4	 	-4	 	0.7854	 	1	 	1	 	 	40.55
341	 	-4	 	-4	 	0.7854	 	2	 	1	 	 	-2.05
342	 	-4	 	-4	 	1.571	 	0	 	1	 	 	-2.067
343	 	-4	 	-4	 	1.571	 	1	 	1	 	 	36.58
344	 	-4	 	-4	 	1.571	 	2	 	1	 	 	-2.077
345	 	-4	 	-4	 	2.356	 	0	 	1	 	 	-2.511
346	 	-4	 	-4	 	2.356	 	1	 	1	 	 	29.46
347	 	-4	 	-4	 	2.356	 	2	 	1	 	 	-2.425
348	 	-4	 	-4	 	3.142	 	0	 	1	 	 	-2.843
349	 	-4	 	-4	 	3.142	 	1	 	1	 	 	16.81
350	 	-4	 	-4	 	3.142	 	2	 	1	 	 	-2.938
351	 	-4	 	-3	 	-3.142	 	0	 	2	 	 	-3.57
352	 	-4	 	-3	 	-3.142	 	1	 	2	 	 	-4.778
353	 	-4	 	-3	 	-3.142	 	2	 	2	 	 	18.55
354	 	-4	 	-3	 	-2.356	 	0	 	2	 	 	-3.147
355	 	-4	 	-3	 	-2.356	 	1	 	2	 	 	-3.218
356	 	-4	 	-3	 	-2.356	 	2	 	2	 	 	28.37
357	 	-4	 	-3	 	-1.571	 	0	 	2	 	 	-2.866
358	 	-4	 	-3	 	-1.571	 	1	 	2	 	 	-2.78
359	 	-4	 	-3	 	-1.571	 	2	 	2	 	 	35.44
360	 	-4	 	-3	 	-0.7854	 	0	 	0	 	 	39.99
361	 	-4	 	-3	 	-0.7854	 	1	 	0	 	 	-2.483
362	 	-4	 	-3	 	-0.7854	 	2	 	0	 	 	-2.448
363	 	-4	 	-3	 	0	 	0	 	1	 	 	-2.438
364	 	-4	 	-3	 	0	 	1	 	1	 	 	27.11
365	 	-4	 	-3	 	0	 	2	 	1	 	 	-2.469
366	 	-4	 	-3	 	0.7854	 	0	 	0	 	 	33.58
367	 	-4	 	-3	 	0.7854	 	1	 	0	 	 	-2.537
368	 	-4	 	-3	 	0.7854	 	2	 	0	 	 	-2.551
369	 	-4	 	-3	 	1.571	 	0	 	1	 	 	-2.782
370	 	-4	 	-3	 	1.571	 	1	 	1	 	 	30.39
371	 	-4	 	-3	 	1.571	 	2	 	1	 	 	-2.836
372	 	-4	 	-3	 	2.356	 	0	 	1	 	 	-3.343
373	 	-4	 	-3	 	2.356	 	1	 	1	 	 	24.63
374	 	-4	 	-3	 	2.356	 	2	 	1	 	 	-3.384
375	 	-4	 	-3	 	3.142	 	0	 	1	 	 	-3.854
376	 	-4	 	-3	 	3.142	 	1	 	1	 	 	15.61
377	 	-4	 	-3	 	3.142	 	2	 	1	 	 	-3.895
378	 	-4	 	-2	 	-3.142	 	0	 	2	 	 	-3.569
379	 	-4	 	-2	 	-3.142	 	1	 	2	 	 	-3.799
380	 	-4	 	-2	 	-3.142	 	2	 	2	 	 	15.35
381	 	-4	 	-2	 	-2.356	 	0	 	2	 	 	-3.152
382	 	-4	 	-2	 	-2.356	 	1	 	2	 	 	-3.146
383	 	-4	 	-2	 	-2.356	 	2	 	2	 	 	25.8
384	 	-4	 	-2	 	-1.571	 	0	 	2	 	 	-2.811
