Gamma     = 0.99 , alpha    = 0.1 , episodes            = 25000
n actions = 3    , n states = 441 , n state action pair = 1323

row	 	 x	 	 y	 	theta	 	actions	 	best action	 	Q Table
329	 	-1	 	1	 	-2.356	 	2	 	0	 	 	0
330	 	-1	 	1	 	-1.571	 	0	 	0	 	 	0
331	 	-1	 	1	 	-1.571	 	1	 	0	 	 	0
332	 	-1	 	1	 	-1.571	 	2	 	0	 	 	0
333	 	-1	 	1	 	-0.7854	 	0	 	0	 	 	0
334	 	-1	 	1	 	-0.7854	 	1	 	0	 	 	0
335	 	-1	 	1	 	-0.7854	 	2	 	0	 	 	0
336	 	-1	 	1	 	0	 	0	 	0	 	 	0
337	 	-1	 	1	 	0	 	1	 	0	 	 	0
338	 	-1	 	1	 	0	 	2	 	0	 	 	0
339	 	-1	 	1	 	0.7854	 	0	 	0	 	 	0
340	 	-1	 	1	 	0.7854	 	1	 	0	 	 	0
341	 	-1	 	1	 	0.7854	 	2	 	0	 	 	0
342	 	-1	 	1	 	1.571	 	0	 	0	 	 	0
343	 	-1	 	1	 	1.571	 	1	 	0	 	 	0
344	 	-1	 	1	 	1.571	 	2	 	0	 	 	0
345	 	-1	 	1	 	2.356	 	0	 	0	 	 	0
346	 	-1	 	1	 	2.356	 	1	 	0	 	 	0
347	 	-1	 	1	 	2.356	 	2	 	0	 	 	0
348	 	-1	 	1	 	3.142	 	0	 	0	 	 	0
349	 	-1	 	1	 	3.142	 	1	 	0	 	 	0
350	 	-1	 	1	 	3.142	 	2	 	0	 	 	0
351	 	-1	 	1.5	 	-3.142	 	0	 	2	 	 	-1.483
352	 	-1	 	1.5	 	-3.142	 	1	 	2	 	 	-1.999
353	 	-1	 	1.5	 	-3.142	 	2	 	2	 	 	32.73
354	 	-1	 	1.5	 	-2.356	 	0	 	2	 	 	-1.1
355	 	-1	 	1.5	 	-2.356	 	1	 	2	 	 	-1.11
356	 	-1	 	1.5	 	-2.356	 	2	 	2	 	 	43.17
357	 	-1	 	1.5	 	-1.571	 	0	 	2	 	 	-0.7176
358	 	-1	 	1.5	 	-1.571	 	1	 	2	 	 	-0.7862
359	 	-1	 	1.5	 	-1.571	 	2	 	2	 	 	48.63
360	 	-1	 	1.5	 	-0.7854	 	0	 	2	 	 	-0.834
361	 	-1	 	1.5	 	-0.7854	 	1	 	2	 	 	-0.8533
362	 	-1	 	1.5	 	-0.7854	 	2	 	2	 	 	53.25
363	 	-1	 	1.5	 	0	 	0	 	0	 	 	58.05
364	 	-1	 	1.5	 	0	 	1	 	0	 	 	-1.192
365	 	-1	 	1.5	 	0	 	2	 	0	 	 	-1.204
366	 	-1	 	1.5	 	0.7854	 	0	 	1	 	 	-1.999
367	 	-1	 	1.5	 	0.7854	 	1	 	1	 	 	55.32
368	 	-1	 	1.5	 	0.7854	 	2	 	1	 	 	-1.854
